Region,Station,Date,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Latitude,Longitude
North,Admiralty,13/06/2020,7.4,1.2,2.2,3.2,25.6,27.2,24.3,9.0,29.4,1.4439,103.7854
North,Admiralty,14/06/2020,1.2,1.0,1.0,1.0,28.0,33.2,25.1,8.2,33.9,1.4439,103.7854
North,Admiralty,15/06/2020,0.2,0.2,0.2,0.2,29.6,33.4,27.8,9.7,42.8,1.4439,103.7854
North,Admiralty,16/06/2020,4.6,4.6,4.6,4.6,28.2,31.2,26.2,12.7,35.2,1.4439,103.7854
North,Admiralty,17/06/2020,11.2,3.6,5.6,7.6,26.6,29.7,25.2,9.3,27.8,1.4439,103.7854
North,Admiralty,18/06/2020,1.4,0.8,0.8,0.8,27.3,30.4,25.2,8.9,23.7,1.4439,103.7854
North,Admiralty,19/06/2020,2,0.8,1.4,1.8,28.0,31.6,25.3,7.8,24.1,1.4439,103.7854
North,Admiralty,20/06/2020,13,4.6,6.2,6.8,26.1,28.1,24.4,8.3,32.8,1.4439,103.7854
North,Admiralty,21/06/2020,0,0.0,0.0,0.0,26.7,28.4,25.4,8.2,29.4,1.4439,103.7854
North,Admiralty,22/06/2020,0,0.0,0.0,0.0,27.1,28.6,25.5,8.5,27.8,1.4439,103.7854
North,Admiralty,23/06/2020,16.8,4.4,6.6,9.8,26.4,29.3,23.4,8.6,34.3,1.4439,103.7854
North,Admiralty,24/06/2020,6.8,3.4,4.2,4.8,26.3,27.5,23.9,9.5,41.1,1.4439,103.7854
North,Admiralty,25/06/2020,0,0.0,0.0,0.0,28.3,32.3,25.3,9.1,25.6,1.4439,103.7854
North,Admiralty,26/06/2020,0,0.0,0.0,0.0,28.7,32.4,26.4,10.0,28.5,1.4439,103.7854
North,Admiralty,27/06/2020,3.8,3.8,3.8,3.8,28.9,31.9,26.3,10.9,37.8,1.4439,103.7854
North,Admiralty,28/06/2020,0.2,0.2,0.2,0.2,29.2,32.6,26.9,9.3,43.9,1.4439,103.7854
North,Admiralty,29/06/2020,0.4,0.2,0.4,0.4,29.4,32.4,27.6,8.7,36.3,1.4439,103.7854
North,Admiralty,30/06/2020,7.2,7.2,7.2,7.2,29.2,33.8,26.2,10.8,43.2,1.4439,103.7854
North,Admiralty,01/07/2020,2,0.8,1.4,1.8,25.9,29.6,23.3,18.7,54.7,1.4439,103.7854
North,Admiralty,02/07/2020,0,0.0,0.0,0.0,27.5,31.1,25.1,23.4,50.0,1.4439,103.7854
North,Admiralty,03/07/2020,5.2,2.8,3.4,3.6,27.8,33.7,25.9,16.2,57.2,1.4439,103.7854
North,Admiralty,04/07/2020,30,14.8,17.2,24.8,27.4,31.8,23.1,,33.2,1.4439,103.7854
North,Admiralty,05/07/2020,0,0.0,0.0,0.0,29.8,35.0,27.6,10.3,35.0,1.4439,103.7854
North,Admiralty,06/07/2020,0,0.0,0.0,0.0,29.3,33.9,26.0,10.6,24.4,1.4439,103.7854
North,Admiralty,07/07/2020,9,8.8,8.8,8.8,27.0,32.0,25.0,9.5,30.6,1.4439,103.7854
North,Admiralty,08/07/2020,0,0.0,0.0,0.0,29.9,33.6,27.3,9.6,29.1,1.4439,103.7854
North,Admiralty,09/07/2020,0,0.0,0.0,0.0,27.9,32.8,23.9,12.9,42.4,1.4439,103.7854
North,Admiralty,10/07/2020,9.6,4.8,7.0,8.4,27.6,31.1,24.3,10.4,51.9,1.4439,103.7854
North,Admiralty,11/07/2020,47,29.6,33.2,34.0,25.4,28.2,23.4,13.1,40.0,1.4439,103.7854
